party,state,name,keycode,post_date,post_likes,post_comments,post_likes_zscore,post_comments_zscore,follower_date,7days_followers,post_likes_clean,likes_by_follower,likes_by_follower_zscore,comments_by_follower,comments_by_follower_zscore,7days_followers_zscore,engagement_rate,engagement_rate_zscore
Republican,Michigan,Mike Rogers,DB7UqOLvD2h,2024-11-03,101,1,-0.019215124909722762,-0.5620324756045979,2024-11-10,1553,101.0,0.06503541532517708,-0.43829174815457045,0.000643915003219575,-0.2782658136900232,1.4474884105592343,0.06567933032839665,-0.4015559615359938
Republican,Michigan,Mike Rogers,DB6nVT3P4Uj,2024-11-03,23,2,-0.36332271895628865,-0.46586722312472373,2024-11-10,1553,23.0,0.014810045074050225,-0.596862269263166,0.00128783000643915,-0.26878522587944614,1.4474884105592343,0.016097875080489377,-0.5728473789718679
Democratic,Texas,Colin Allred,DB7UlN4pOta,2024-11-03,1113,23,-0.1136754351557375,-0.4494270642944391,2024-11-10,71152,1113.0,0.015642568023386552,-0.22598324911706338,0.0003232516303125703,-0.5537887881172266,1.0985551941824487,0.015965819653699122,-0.5125846224497085
Democratic,Texas,Colin Allred,DB7HAX3hl92,2024-11-03,653,26,-0.4164165621227047,-0.3991697961792512,2024-11-10,71152,653.0,0.009177535417135148,-0.5144396357814588,0.0003654148864402968,-0.5065297462991633,1.0985551941824487,0.009542950303575444,-0.7424172791872511
Democratic,Texas,Colin Allred,DB5BVpliTkG,2024-11-03,841,23,-0.29268757979707466,-0.4494270642944391,2024-11-10,71152,841.0,0.011819766134472678,-0.3965487647099233,0.0003232516303125703,-0.5537887881172266,1.0985551941824487,0.012143017764785248,-0.6755369671196174
Republican,Arizona,Kari Lake,DB63PUdyUWF,2024-11-03,14215,151,1.462060350207636,0.18591288181293184,2024-11-10,834874,14215.0,0.017026521367296144,1.429453338906575,0.00018086561564978668,0.1747511122458899,2.2664078261055476,0.01720738698294593,0.727130048281002
Republican,Pennsylvania,Dave McCormick,DB6sm96u5dJ,2024-11-03,97,0,-0.860893498349752,-0.6387388114561252,2024-11-10,3514,97.0,0.027603870233352305,-1.3765324786348412,0.0,-0.6271220433633878,2.1714281493523493,0.027603870233352305,-0.6906202769146002
Republican,Pennsylvania,Dave McCormick,DB6hOdSuPSi,2024-11-03,318,8,1.477187729758906,0.09403993973637023,2024-11-10,3514,318.0,0.09049516220830962,-0.6518775359875845,0.0022766078542970974,-0.3740084565558295,2.1714281493523493,0.09277177006260671,0.7235918305488999
Republican,Texas,Ted Cruz,DB48u16ACAh,2024-11-03,4685,152,-0.06180627844435293,-0.43197464702358307,2024-11-10,1242589,4685.0,0.0037703536728556264,-0.06265491401733825,0.00012232524189414198,-0.43256322533254604,1.906726435054014,0.0038926789147497682,-0.25896789197971554
Republican,Wisconsin,Eric Hovde,DB4sQLRKXuo,2024-11-02,310,8,-0.6131871958595038,-1.080564471015996,2024-11-09,3414,310.0,0.09080257762155829,-1.0802345238940483,0.0023432923257176333,-1.2126101012496393,1.402766445316325,0.09314586994727592,-1.207436685223503
