keycode,label,topic
DBHijYfBLyd,1,Voting
DBHiy5UA4bl,1,Voting
DBHtWnAyX6s,0,Immigration
DBIAFbaPT5T,4,Economic
DBIE1Hngfri,4,Economic
DBIE8KIs8b_,0,Immigration
DBIElAziGFT,1,Voting
DBIEwEotfNY,0,Immigration
DBIFHKVNMi6,0,Immigration
DBJ-yQtpzQF,5,Candidate Criticism
DBJ6LnXtd0R,3,Candidate Strategies(mix)
DBJ6hB4yWd4,0,Immigration
DBJ81UFvKTN,0,Immigration
DBJ9AvGpcqR,1,Voting
DBJR9qwis6T,6,Abortion
DBJmjfhAgnn,4,Economic
DBJnvt0sv-G,3,Candidate Strategies(mix)
DBJwu7Et5SB,5,Candidate Criticism
DBK0AgBt0eq,2, Candidate Narratives
DBK0uZHA15v,3,Candidate Strategies(mix)
DBKJFbzv5_V,1,Voting
DBKeii7s6Wk,1,Voting
DBKgd1aPO5w,3,Candidate Strategies(mix)
DBKh1j2Aazv,2, Candidate Narratives
DBKiE-tg72Y,6,Abortion
DBKiboqg4lo,6,Abortion
DBKixIpARkW,6,Abortion
DBKjVIYNlrf,0,Immigration
DBKjWZwgM9B,4,Economic
DBKju99gc1w,4,Economic
DBKk8Ong12j,0,Immigration
DBKkog1gA1o,0,Immigration
DBKlV4BAV0g,0,Immigration
DBKm4MeAtsX,0,Immigration
DBKmcCTpKpi,4,Economic
DBKn85kAe8D,3,Candidate Strategies(mix)
DBKnOq4tudf,0,Immigration
DBKnhT6AucN,0,Immigration
DBKocMhgSun,2, Candidate Narratives
DBKp9pONMPk,4,Economic
DBL3RegAjNj,4,Economic
DBLzLkIpror,2, Candidate Narratives
DBMQZB7uDS_,0,Immigration
DBMXuP4s2yl,3,Candidate Strategies(mix)
DBMhnWYykCA,1,Voting
DBMn-ViydZ3,0,Immigration
DBMpl_0BcaF,0,Immigration
DBMrUoBMc2D,1,Voting
DBNIRLct3_J,3,Candidate Strategies(mix)
DBNIlFEJwEK,5,Candidate Criticism
DBNK5Nbv3Oy,6,Abortion
DBNLiabN0Gc,4,Economic
DBNWLv-sZtT,0,Immigration
DBNZorwpqGl,3,Candidate Strategies(mix)
DBO-z-MvKB7,4,Economic
DBOfGBVNL4t,2, Candidate Narratives
DBOl6A1vQUg,2, Candidate Narratives
DBOsSJ-i1ot,1,Voting
DBOt14ROeRO,5,Candidate Criticism
DBPOvndOK0N,5,Candidate Criticism
DBPYS0MuDtu,2, Candidate Narratives
DBPjRnyNUpf,3,Candidate Strategies(mix)
DBRHoBmPGRY,1,Voting
DBRans_JcEe,0,Immigration
DBRg5EVs5lu,5,Candidate Criticism
DBRltWQs_rp,4,Economic
DBRoj-exliV,0,Immigration
DBRsNXbJqyH,0,Immigration
DBRsoIOBne6,0,Immigration
DBRtGBMh4PX,0,Immigration
DBRtYEFpJTz,0,Immigration
DBRtf-BB-oF,4,Economic
DBRwGhDOrUd,2, Candidate Narratives
DBSBWKkv3RZ,5,Candidate Criticism
DBSXOtjpVA5,5,Candidate Criticism
DBSgARKx4xH,1,Voting
DBSr2ARocLh,3,Candidate Strategies(mix)
DBTwGVPiQC3,3,Candidate Strategies(mix)
DBU4yZFtBYc,1,Voting
DBU6-68tMku,4,Economic
DBU668OP9wT,2, Candidate Narratives
DBUbTQdogUS,4,Economic
DBUcvk4skW5,4,Economic
DBUmGZyuTCk,5,Candidate Criticism
DBUzcMyMI0p,4,Economic
DBWNHQUPc60,4,Economic
DBWV0ZKq-La,2, Candidate Narratives
DBWeiNTPcbo,3,Candidate Strategies(mix)
DBXTqzyNhBh,2, Candidate Narratives
DBXfxAAvzha,3,Candidate Strategies(mix)
DBXh5CoNzIS,1,Voting
DBY-H8JvIz_,3,Candidate Strategies(mix)
DBY2koUpVXi,1,Voting
DBZRucXgGje,1,Voting
DBZWXP5yQqD,4,Economic
DBZowlVCnMF,1,Voting
DBaaQYxMm0g,6,Abortion
DBbS6bQv7Qk,2, Candidate Narratives
DBbyuzJOJfr,5,Candidate Criticism
DBcEn1vPDpy,4,Economic
DBcNsVBpX9X,1,Voting
DBc_fwXp1IF,1,Voting
DBcaY7TSESQ,1,Voting
DBclc_ntu-H,1,Voting
DBct3jQPJvw,3,Candidate Strategies(mix)
DBczc6yt8m7,3,Candidate Strategies(mix)
DBe-CJ3uWVs,1,Voting
DBe-TZsy_4E,0,Immigration
DBe5QEuoxtm,2, Candidate Narratives
DBeHonPOfN3,3,Candidate Strategies(mix)
DBeN2BxsttT,2, Candidate Narratives
DBeRaFPp-Oi,4,Economic
DBemP6LqCuF,2, Candidate Narratives
DBexm1FpKt3,5,Candidate Criticism
DBfC0HNpdJz,1,Voting
DBfJqzQtw4I,2, Candidate Narratives
DBfRqi6vbyh,1,Voting
DBfalAwvuS7,6,Abortion
DBguPvgPb7W,6,Abortion
DBh6tczPMzt,0,Immigration
DBhDrxDSU14,1,Voting
DBhJRr2v1x2,3,Candidate Strategies(mix)
DBhKZq9SnC6,4,Economic
DBhbwL1g58Q,5,Candidate Criticism
DBhhJs9oT-N,3,Candidate Strategies(mix)
DBhwP3dNeCv,3,Candidate Strategies(mix)
DBjM8mwsYgO,4,Economic
DBjPdrNMaaU,1,Voting
DBjVdGBhnh8,6,Abortion
DBk4agEPC_b,1,Voting
DBk4hmftDy1,1,Voting
DBk4pOitnh9,0,Immigration
DBk4yRmvEl2,1,Voting
DBkE1kPP4oS,4,Economic
DBkb0gsp5Jo,0,Immigration
DBkn0Ygsrxd,2, Candidate Narratives
DBl5I7BhklN,6,Abortion
DBl67hXPeIc,1,Voting
DBl7yEHNgEC,2, Candidate Narratives
DBm073sSwNp,6,Abortion
DBmQbz2unGM,5,Candidate Criticism
DBmUoBjSLa3,0,Immigration
DBmWjw6vV-C,6,Abortion
DBmbKXnv79i,1,Voting
DBmePbztwIX,1,Voting
DBmzr4pPAn5,1,Voting
DBnQfsvqWOu,5,Candidate Criticism
DBoOuxwKiIt,5,Candidate Criticism
DBpyFIBSqgJ,2, Candidate Narratives
DBq0TiGPNHJ,5,Candidate Criticism
DBqzh5TO2z5,3,Candidate Strategies(mix)
DBrFXdZqOHw,5,Candidate Criticism
DBrK28QC99j,5,Candidate Criticism
DBrSQF9vpfl,3,Candidate Strategies(mix)
DBrSpVGRVAl,2, Candidate Narratives
DBrcDMXAtRO,5,Candidate Criticism
DBrcgU8S0rM,1,Voting
DBrd3oJpppZ,0,Immigration
DBrdF2qAtUG,1,Voting
DBrdlqgvL06,3,Candidate Strategies(mix)
DBrdseTKuVn,0,Immigration
DBrgNJxhfmO,0,Immigration
DBrhLJViwfG,0,Immigration
DBsCFc3oDVx,4,Economic
DBsF0DzvfNv,2, Candidate Narratives
DBsMkvSobf7,3,Candidate Strategies(mix)
DBsPEStIB2z,3,Candidate Strategies(mix)
DBsaJlsiSWz,3,Candidate Strategies(mix)
DBsaUZNsWpI,0,Immigration
DBsgFamMje9,6,Abortion
DBt1DDVsxiO,3,Candidate Strategies(mix)
DBt1hVct-Gq,3,Candidate Strategies(mix)
DBt6KUfyVE4,0,Immigration
DBtYGK-vOCN,3,Candidate Strategies(mix)
DBtg9W-xRx2,1,Voting
DBtu3IKO2sE,2, Candidate Narratives
DBtv7_pK6Wp,1,Voting
DBu6pM7v37r,6,Abortion
DBuBCnYPcH0,1,Voting
DBuHdyqOORc,0,Immigration
DBuI2YJy2Mn,4,Economic
DBuSQxsgPuc,2, Candidate Narratives
DBuV2PoyJCS,2, Candidate Narratives
DBuYfLVhtYx,6,Abortion
DBuhE9Wsrlg,1,Voting
DBvylfou4Zn,2, Candidate Narratives
DBw2UpAhtBY,1,Voting
DBwAUm4Mxxu,2, Candidate Narratives
DBwFm8Yg4vu,6,Abortion
DBwODYYS8Pb,2, Candidate Narratives
DBwUqpYoDd8,5,Candidate Criticism
DBwZIdwvihr,1,Voting
DBwhMU0SNvS,1,Voting
DBwoTKYA-9z,3,Candidate Strategies(mix)
DBxDKbnuVmb,1,Voting
DBxF1e3MgRB,1,Voting
DBy-D_EPvd2,4,Economic
DBy8pxavAm1,0,Immigration
DByb8DaOLur,5,Candidate Criticism
DByjEEsuw6d,3,Candidate Strategies(mix)
DBykayYI-S_,1,Voting
DBz3SxgpwzI,5,Candidate Criticism
DBz449Kvmw0,2, Candidate Narratives
DBzBPq1O0mq,1,Voting
DBzDsJmRSAZ,1,Voting
DBzHF20vSMb,3,Candidate Strategies(mix)
DBzlUodAZLV,1,Voting
DBzvH46twrB,2, Candidate Narratives
